Condition,Cylinder heating zone 1,Cylinder heating zone 2,Cylinder heating zone 3,Cylinder heating zone 4,Cylinder heating zone 5,Mould temperature control unit 1,Maximum injection pressure,Injection time,Dosage time,Cycle time,Switch-over volume,Material cushion
Normal1,288.35,299.23,322.16,295.85,314.59,89.59,1561.72,0.234,3.136,27.87,1.44334,0.918447
Normal1,281.62,290.25,296.76,297.53,310.64,89.37,1548.98,0.224,2.998,27.548,1.41334,0.929772
Normal1,285.52,304.26,311.49,302.41,320.42,89.96,1419.08,0.234,2.998,30.216,1.44334,0.899388
Normal1,278.513125,286.23,320.73,319.29,327.56,86.06,1565.21,0.234,2.9417500000000003,28.256,1.34334,0.996952
Normal1,273.88,280.36,299.98,299.78,304.21,89.66,1515.13,0.224,3.118,27.976,1.47334,0.92958
Normal1,268.11,291.14,309.15,302.24,322.93,93.56,1583.94,0.224,3.11,28.816,1.4052150000000003,0.912977
Normal1,272.7,296.69520833333337,310.53958333333327,322.48,313.22,90.92,1545.8202083333335,0.224,2.988,28.80095833333333,1.39334,0.9538634791666666
Normal1,265.85,284.43,321.89,310.26,313.63,85.63,1518.07,0.224,2.95,27.518,1.40334,0.965242
Normal1,288.28,299.28,313.05,317.75,316.570625,87.61,1482.73,0.224,3.056,29.678,1.40334,0.922977
Normal1,270.15,287.19,324.99,295.15,299.87,94.17,1472.17,0.23316666666666666,2.806,29.008,1.48334,0.91411
Normal1,270.6,282.36,305.83,310.125625,301.63,90.07,1462.57,0.244,2.954,29.996,1.40334,0.947315
Normal1,268.18,308.23,316.61,298.18,311.76,89.73124999999999,1559.28,0.244,2.814,28.956,1.47334,0.920905
Normal1,277.36,293.09,311.77,325.29,313.42,90.9,1463.28,0.234,3.014,28.806,1.46334,0.92411
Normal1,277.05,296.33,301.19,294.76,321.2,94.07,1579.85,0.224,2.994,27.696,1.40334,0.9777
Normal1,275.43,307.63,325.11,319.25,306.42,88.48,1539.3,0.224,3.028,29.646,1.39334,0.974132
Normal1,277.11,290.63,311.06,299.53,318.55,91.11,1491.65,0.244,3.008,27.966,1.43334,0.949772
Normal1,267.01,303.17,310.53958333333327,324.34,320.11,89.5,1555.07,0.224,2.858,27.446,1.42334,0.972037
Normal1,283.26,307.26,300.8,317.21,314.2,89.2,1528.14,0.224,2.99,29.216,1.45334,0.932037
Normal1,283.03,282.5,298.63,300.57,315.74,90.53,1614.07,0.234,2.908,29.456,1.4052150000000003,0.960734
Normal1,286.43,308.45,322.86,320.36,318.75,86.88,1545.8202083333335,0.224,2.856,29.564,1.40334,0.981097
Normal1,287.0,308.26,309.74,295.13,307.38,87.91,1597.26,0.244,3.056,30.204,1.42334,0.931097
Normal1,266.51,305.19,320.89,310.28,323.82,92.26,1579.05,0.244,3.046,28.104,1.35334,0.962422
Normal1,278.513125,292.23,300.86,320.75,304.99,90.71,1546.08,0.234,2.804,27.924,1.36334,0.986952
Normal1,287.54,286.74,311.79,302.48,311.7,87.48,1493.6,0.244,2.974,29.622,1.34334,0.9538634791666666
Normal1,273.37,287.85,310.64,298.93,319.27,92.14,1564.66,0.234,2.894,29.522,1.35334,0.959217
Normal1,289.04,307.28,310.99,301.85,321.18,88.17,1571.12,0.244,2.804,27.592,1.42334,0.96676
Normal1,275.31,296.69520833333337,296.37,310.125625,302.43,92.81,1554.75,0.234,2.934,28.80095833333333,1.34334,0.957892
Normal1,282.14,306.98,316.47,313.76,312.64,90.54,1566.31,0.224,2.91,28.752,1.36334,0.927892
Normal1,290.51,301.74,311.15,296.2,326.58,92.71,1538.5,0.244,2.82,28.502,1.39334,0.997529
Normal1,267.26,302.25,311.94,300.8,316.570625,87.18,1578.92,0.224,2.932,30.032,1.34334,0.988085
Normal1,279.23,304.7,306.13,312.3,330.01,92.3,1532.63,0.234,2.9417500000000003,28.032,1.38334,0.937144
Normal1,271.87,308.67,303.0,301.25,313.21,87.56,1575.4,0.224,2.952,27.636,1.41334,0.940157
Normal1,273.48,308.59,300.68,325.56,317.34,89.73124999999999,1591.05,0.244,2.87,27.486,1.38334,0.996952
Normal1,280.71,301.83,307.87,322.91,330.16,93.27,1532.2,0.224,2.97,28.04,1.40334,0.984687
Normal1,273.21,283.16,306.76,296.44,330.23,87.17,1531.91,0.224,2.996,29.68,1.38334,0.92035
Normal1,273.03,303.97,308.86,315.6,328.09,92.29,1535.3,0.234,2.862,28.594,1.34334,0.939217
Normal1,276.33,304.99,315.04,324.62,327.33,86.1,1540.52,0.244,2.842,29.154,1.37334,0.976012
Normal1,287.46,303.96,303.24,317.03,316.92,91.0,1526.57,0.244,2.772,29.094,1.45334,0.92488
Normal1,289.57,301.28,324.69,318.36,327.75,94.37,1600.55,0.244,2.914,30.114,1.40334,0.979217
Normal1,273.04,304.43,298.7,316.16,319.28,88.06,1581.47,0.23316666666666666,2.914,30.222,1.38334,1.003747
Normal1,287.35,295.97,304.6,316.6,314.3,86.1,1593.99,0.244,3.038,29.122,1.44334,0.948662
Normal1,281.57,287.68,321.24,319.15,326.06,88.31,1480.0,0.234,2.948,29.522,1.48334,0.974687
Normal1,290.81,282.36,296.05,320.36,305.91,90.97,1578.99,0.234,2.882,29.742,1.39334,0.964687
Normal1,282.25,285.49,325.05,305.44,302.48,86.36,1588.73,0.234,2.952,27.492,1.45334,0.951482
Normal1,285.62,285.04,298.05,317.63,312.67,86.76,1512.11,0.234,2.85,29.042,1.37334,0.938085
Normal1,288.25,309.43,312.68,317.15,319.13,88.53,1523.85,0.224,2.846,30.302,1.38334,0.958085
Normal1,292.81,286.76,310.66,316.93,310.82,89.85,1597.63,0.224,2.89,27.604,1.36334,1.009409
Normal1,268.23,286.92,318.85,303.09,327.31,85.83,1554.58,0.234,3.1,28.384,1.37334,0.918085
Normal1,266.82,291.19,311.39,312.2,315.9,88.86,1561.32,0.244,2.864,29.294,1.44334,0.976952
Normal1,268.39,304.41,317.46,304.84,321.65,94.23,1610.08,0.234,2.984,28.002,1.46334,0.93582
Condition3,293.12,281.14,296.99,296.01,315.95,90.7,1623.09,0.238,2.8673157894736843,29.966,1.5151,1.07774
Condition3,281.7,289.09,319.75,299.52,325.37,91.75,1587.35,0.218,2.784,28.95,1.58397,1.02642
Condition3,273.98,301.67,306.11,316.05,303.86,87.27,1549.81,0.228,2.856,28.64,1.60397,1.02982
Condition3,277.71,306.72,320.67,322.51,316.44,88.99,1505.19,0.238,2.928,27.988,1.5635373684210527,1.05736
Condition3,273.44,286.52,309.211052631579,309.12,327.23,91.4,1539.062894736842,0.228,2.798,29.48,1.5851,0.98056
Condition3,272.85,295.91078947368425,303.89,309.5142105263158,314.31,87.46,1548.81,0.238,2.826,29.36,1.5351,1.0497934210526316
Condition3,281.15,308.76,316.64,315.91,317.95,90.69,1528.32,0.228,2.966,28.73594736842105,1.61397,1.05717
Condition3,280.59,280.7,299.88,300.25,326.44,89.78,1636.0,0.218,2.912,28.298,1.5851,1.03926
Condition3,293.43,302.56,304.49,303.48,320.58,89.57894736842105,1485.91,0.218,2.832,27.9,1.50397,1.03943
Condition3,279.1302631578948,309.58,302.82,304.19,301.33,93.83,1483.2,0.238,3.036,29.98,1.62397,1.01717
Condition3,268.04,287.87,294.71,318.53,315.32605263157893,87.53,1563.91,0.228,2.776,27.7,1.49397,1.07717
Condition3,282.49,300.4,322.71,302.21,304.62,86.78,1469.9,0.218,2.918,27.55,1.59397,1.07396
Condition3,289.58,306.65,296.99,312.69,306.32,90.28,1565.26,0.218,3.028,28.448,1.5151,1.0517
Condition3,291.69,298.17,314.22,306.98,309.08,86.58,1609.11,0.228,2.836,27.726,1.6351,1.0817
Condition3,270.73,282.03,309.67,318.89,324.51,89.94,1589.73,0.238,2.8,28.0,1.6151,1.13039
Condition3,273.27,289.25,322.55,294.75,320.25,86.15,1539.062894736842,0.238,2.97,28.66,1.55397,1.0083
Condition3,269.4,308.18,299.68,319.88,312.18,93.95,1512.84,0.238,2.948,29.894,1.5651,1.01567
Condition3,266.97,295.91078947368425,297.64,318.07,305.97,88.69,1470.18,0.238,2.87,27.87,1.5635373684210527,1.05962
Condition3,290.27,284.53,323.14,313.4,308.05,91.78,1501.99,0.228,2.78,29.578,1.5651,1.02962
Condition3,270.99,285.19,311.78,301.64,313.16,93.22,1579.86,0.22878947368421051,3.038,29.048,1.53397,1.0683
Condition3,279.1302631578948,299.69,314.87,309.09,327.24,90.46,1583.91,0.228,2.768,29.848,1.57397,1.0083
Condition3,273.64,281.59,309.211052631579,315.05,306.29,88.94,1594.11,0.238,2.788,28.73594736842105,1.49397,1.0683
Condition3,291.07,292.06,308.45,296.86,321.06,89.57894736842105,1603.45,0.218,2.784,30.064,1.49397,1.0497934210526316
Condition3,276.72,290.4,302.07,296.19,321.81,89.65,1533.78,0.228,2.714,29.712,1.60397,1.04529
Condition3,285.02,284.19,322.93,299.62,315.32605263157893,87.66,1512.68,0.238,2.714,28.142,1.51397,1.06056
Condition3,270.71,307.41,313.95,302.65,304.3,90.51,1521.76,0.218,2.92,27.64,1.5751,1.12379
Condition3,269.46,291.57,296.95,296.96,310.13,86.58,1606.71,0.238,2.8673157894736843,28.522,1.59397,1.07056
Condition3,288.51,299.91,300.29,318.2,328.03,90.18,1566.12,0.228,2.888,28.722,1.52397,0.98509
Condition3,268.96,293.36,323.91,309.66,330.43,90.43,1468.75,0.238,2.952,27.532,1.54397,1.10114
Condition3,293.57,299.99,309.48,319.22,322.34,90.92,1487.26,0.228,2.706,28.002,1.60397,1.08509
Condition3,281.58,301.98,304.73,298.26,300.13,91.91,1482.12,0.218,2.936,29.522,1.62397,1.08509
Condition3,292.38,294.77,311.52,320.58,325.24,86.4,1503.32,0.228,2.866,28.13,1.56397,0.99189
Condition3,270.36,281.39,323.01,309.5142105263158,312.66,85.94,1515.29,0.22878947368421051,2.942,30.26,1.5751,1.09529
Condition3,285.95,301.32,320.52,313.93,313.15,90.49,1532.1,0.228,2.948,29.238,1.5351,1.09454
Condition3,272.32,308.72,313.98,322.54,313.48,90.74,1482.18,0.218,2.802,27.418,1.54397,1.06868
Condition3,277.2,308.42,295.52,303.12,313.77,88.64,1487.88,0.228,2.794,27.856,1.52397,1.03415
Condition3,293.6,297.67,296.51,324.54,306.82,88.51,1583.24,0.238,2.886,29.418,1.58397,1.00189
Condition3,272.97,306.01,295.31,318.95,328.83,86.55,1478.71,0.218,2.896,28.158,1.58397,1.01189
Condition3,274.43,307.27,307.79,323.8,307.78,88.92,1590.36,0.228,2.896,28.588,1.56397,1.00529
Condition3,267.1,287.88,323.9,298.24,315.3,93.8,1540.2,0.228,2.856,30.158,1.57397,1.03396
Condition1,280.34,304.55,322.0516666666667,318.01916666666665,332.33,88.26,1520.24,0.244,3.044,28.80583333333333,1.45334,0.901653
Condition1,296.92,291.23,325.09,305.35,322.18,93.78,1496.25,0.234,2.944,28.592,1.48334,0.912977
Condition1,303.14,299.41,325.12,305.27,317.86,89.7,1554.77,0.234,3.04,29.3,1.47334,0.95052
Condition1,292.46,292.56,316.56,315.26,325.11,90.5,1507.52,0.234,2.924,28.8,1.4204233333333336,0.948255
Condition1,278.43,289.91,318.01,312.37,331.29,88.34,1461.34,0.234,2.9045,28.13,1.37334,0.948255
Condition1,278.12,303.87416666666667,331.09,318.49,323.04,91.09958333333334,1518.58,0.244,2.776,28.302,1.46334,0.9187217083333333
Condition1,288.745,320.0,313.89,311.59,325.43416666666667,90.81,1436.54,0.244,2.906,27.732,1.37334,0.904858
Condition1,282.29,317.21,331.09,313.06,310.04,92.34,1450.33,0.224,2.794,28.152,1.38334,0.934858
Condition1,287.93,299.67,332.91,324.64,330.78,93.52,1546.47,0.224,2.87,28.54,1.35334,0.926183
Condition1,281.99,298.99,329.36,320.43,332.49,91.07,1513.29,0.234,3.03,28.78,1.34334,0.91411
Condition1,288.07,317.6,322.0516666666667,327.13,308.99,92.62,1423.63,0.234,3.056,28.972,1.48334,0.878255
Condition1,276.84,306.54,327.31,311.25,324.99,91.49,1481.82,0.244,2.956,29.002,1.39334,0.904858
Condition1,279.79,315.64,313.53,307.12,332.06,86.15,1482.63,0.23608333333333334,2.812,29.88,1.42334,0.88599
Condition1,280.85,301.12,327.28,328.32,313.59,94.11,1470.91,0.224,2.766,28.91,1.43334,0.95411
Condition1,288.31,291.7,319.5,309.7,340.96,93.04,1513.63,0.244,2.826,29.33,1.36334,0.933725
Condition1,287.39,318.29,335.46,323.56,336.58,90.87,1507.56,0.234,2.9045,28.80583333333333,1.47334,0.93505
Condition1,294.38,303.22,323.19,318.01916666666665,322.02,91.06,1445.46,0.234,2.996,28.552,1.46334,0.87505
Condition1,294.47,298.63,309.54,314.99,316.4,90.2,1487.996,0.244,2.996,28.762,1.38334,0.901097
Condition1,280.49,312.97,308.12,313.95,334.21,90.8,1440.15,0.234,2.762,29.704,1.45334,0.896375
Condition1,295.78,311.75,307.84,321.38,327.22,93.59,1445.19,0.244,2.782,28.834,1.41334,0.934858
Condition1,291.23,294.69,332.35,320.37,325.43416666666667,91.5,1440.56,0.224,2.888,29.862,1.4204233333333336,0.9187217083333333
Condition1,288.745,303.87416666666667,323.61,315.21,323.65,86.97,1465.74,0.23608333333333334,2.898,27.432,1.39334,0.95052
Condition1,301.68,309.77,316.82,334.03,330.15,92.55,1476.05,0.244,2.916,27.962,1.42334,0.91052
Condition1,303.87,310.13,334.06,324.99,327.33,91.09958333333334,1478.77,0.244,2.926,28.464,1.40334,0.898255
Condition1,297.24,294.73,304.92,323.8,320.9,88.76,1555.17,0.234,2.88,29.044,1.44334,0.868255
Condition1,287.87,292.67,322.59,330.2,326.25,94.36,1567.3,0.234,2.92,30.302,1.44334,0.980734
